MRT 4N,125000
2 GP,115500
16 C,108000
CJ 4,95000
DRT 1M,75500
56 P,65000
6 LE,65000
18 EEF,55000
T 48,54800
RH 17,49000
BTO 1,45500
CC 18,45000
RL 12,45000
1 EJK,39000
16 MAX,38500
10 KW,37800
1 BTO,37500
TMO 1,35500
S1 RAL,35000
2 OLE,30000
91 NS,29900
58 EEF,25000
JAG 3R,25000
113 EX,24000
NES 2,21500
USM 16M,20000
G1 BON,20000
555 OR,18900
CAV 3S,18000
A6 OOO ,18000
TA 33,18000
2 RTL,17000
17 JV,16500
5455 Y,15900
GJP 7,15900
17 ORY,15500
70 NYL,15000
BOW 4N,15000
26 JV,15000
NUT 4L,15000
71 TCH,15000
111 ATS,15000
PCK 2,15000
3 GJP ,15000
4 GJP,15000
7 GJP,15000
14 AJB,15000
