RDP 5,29950
4 STP,25950
34 CT,19500
53 JY,15950
LS 333,14500
SEB 1T,12950
11 EST,12500
178 RP,10950
181 EP,10500
T2 HEA,10250
HEA 77S,4999
D3 AJB,3450
CJS 7C,3300
B1 JLS,3200
S4 JMB,2650
J7 JDS,2500
N8 PJC,2500
R1 LUX,2500
S2 JRS,2500
H6 JJB,2250
A15 DBX,2000
L9 DRB,2000
T7 RCS,2000
3020 EH,1800
A6 JRW,1750
B7 CER,1750
L8 JPH,1750
S3 JSW,1750
L4 JCH,1550
A9 JML,1500
R5 DCB,1500
R9 MRM,1500
H27 ROX,1299
N9 RSC,1250
T6 BJM,1250
W8 DCW,1250
X6 SCD,1250
Y6 MAP,1250
Y9 RCB,1250
G6 CEP,1050
A20 ALN,1000
E9 DRN,1000
R10 LUX,1000
W2 SCM,1000
X4 DLP,1000
Y4 AHB,1000
