850 A,19500
880 C,14200
212 JC,11000
554 N,10630
296 AB,8600
103 SS,8600
955 AM,8100
822 SA,7730
142 CB,7600
765 SM,7600
284 RC,7200
550 TW,6810
212 BS,6740
180 ME,6730
850 HB,6590
212 LH,6590
988 MK,6590
770 GH,6550
930 DR,6280
17 MJW,6270
250 BK,6200
350 LD,6130
989 PW,6060
909 DS,5910
588 LR,5780
950 PR,5600
440 CL,5550
951 AT,5520
110 NJ,5400
853 CT,5390
650 KA,5320
176 LA,5300
555 HJ,5200
102 BS,4850
303 NT,4700
195 TR,4700
2710 JB,4540
191 DK,4480
650 BE,4450
720 DE,4440
212 TL,4350
1001 HD,4300
137 ME,4300
1500 MJ,4210
133 RJW,4050
AJC 52S,4000
106 DA,3920
8763 JB,3740
526 ES,3650
3240 CH,3610
156 BJ,3500
1010 LK,3500
2121 CJ,3400
808 PJD,2710
214 MJC,2640
333 SDM,2600
186 MJD,2580
2405 DJ,2510
DJB 99S,2500
AJW 22S,2400
262 DJT,2300
MCD 88S,2300
1307 BL,2050
1008 DE,2040
7911 ER,2030
JDS 10A,1780
B22 ROB,1680
JMD 93X,1600
DJL 16S,1500
A22 MJB,1440
MJT 22J,1390
PJH 16M,1380
CRS 20B,1260
A22 DJW,1200
B22 MJW,1200
A22 SJS,1200
B22 SJS,1200
MJG 65M,1180
CAD 55M,1010
