9 R,375000
RR 100,250000
ROB 1E,170000
HX 1,155000
ARO 1,120000
17 G,120000
JB 9,120000
1 VL,105000
53 A,95000
19 B,95000
1 UY,86000
DBS 2,85000
111 G,85000
GBS 1,75000
1 GBS,75000
44 RR,75000
8 HD,75000
X 28,70000
XS 7,70000
34 X,69500
200 A,65000
1 KBC,65000
EF 5,62000
BB 31,55000
9 ROB,55000
90 KA,55000
RRX 1,55000
1 VVL,55000
GN 9,55000
JAK 6,48000
RY 9,47000
JCK 2,46500
BOX 1N,45000
16 OLD,45000
X 300,45000
1 SYL ,42000
JH 58,40000
NEJ 1,38500
6 WH,38500
RXX 1,38000
DD 86,37500
OO 56,37500
ROH 41L,37000
3 GEO,36500
837 H,36500
NAT 4,36000
1 VHL,36000
DEC 111,35000
KHA 1N,35000
LOT 22,35000
FWD 1,35000
A 166,35000
1 GTD,35000
OUT 81D,33000
A 158,33000
16 DS,33000
A 363,33000
XRB 1,33000
XOO 1,32000
1 XXB,32000
SPY 111,30000
CLA 5Y,30000
550 B,30000
FJ 10,30000
1 XXA,30000
1 RXX,29500
G 170,28500
285 M,28500
46 BM,28000
KE 21,28000
AW 27,28000
950 G,28000
222 P,28000
XXX 4,28000
200 B,27500
VRK 1,26500
160 SS,26000
160 C,26000
90 OK,26000
7 THC,26000
1 TYF,26000
LUC 2Y,25500
C10 NOR,25000
J1 LLC,25000
30 BG,25000
38 GG,25000
1 XXF,25000
GRX 1,25000
60 MG,25000
1 XBC,25000
601 G,24500
17 LW,24500
825 P,24500
BW 98,24000
FNH 1,24000
1 KOX,24000
421 S,24000
29 MK,23500
1 HEJ,23000
ELL 18E,22000
VEY 20N,22000
AB 787,22000
AM 256,22000
41 AW,22000
NAS 12,21000
N6 ONS,21000
C 576,20600
EYO 1,20000
OEX 1,20000
1 BFD,19950
JAM 66S,19500
2 JCK,19500
SDM 4,19000
1 WFN,19000
1 WNK,19000
1 FNN,18800
L41 LAX,18500
ROB 32T,18000
250 MH,18000
LEW 18S,17500
333 AS,17500
LEO 6N,17500
1 CYV,17500
1 RTY,17000
775 D,16500
ALF 19E,16000
BEX 666,16000
LOU 16S,16000
RAB 81A,16000
9000 L,16000
15 TON,16000
1 FJX,16000
KAU 6R,15500
282 LC,15500
BN 66,15500
143 D,15500
1 BJU,15500
1 KUK,15500
B14 CKS,15000
B14 CKY,15000
B1 AKS,15000
102 PJ,15000
CDS 2,15000
SMJ 6,15000
16 WR,15000
6 BMH,15000
WCO 2,15000
J41 AKE,14500
212 MH,14500
88 EJ,14500
TYY 1,14500
1 UTL,14500
YCG 1,14500
411 CES,13500
LYD 15A,13500
BRA 2D,13500
50 EK,13500
AYL 44A,13000
ELS 13E,13000
LOU 19S,13000
975 AC,13000
509 HY,13000
OWE 2N,13000
1 LFY,13000
50 SU,13000
OOO 1X,12800
JHB 50,12500
9000 P,12500
18 RSM,12500
100 XS,12500
786 PB,12500
12 XO,12500
1111 GK,12000
19 AND,12000
VER 5E,12000
73 KE,12000
60 MX,12000
XXX 1C,11800
AYL 14A,11500
DES 88,11500
GLS 12,11500
OMA 5R,11500
M1 POR,11500
1 EYG,11500
1 LXW,11500
UWT 1,11500
61 WM,11500
59 WR,11500
XUA 1,11500
N47 LER,11000
3500 SE,11000
XSA 24H,11000
GAR 7X,11000
5 DRN,11000
