13 S,249000
51 G,199000
1 SAK,125000
1 SRG,99500
DW 111,99500
G 141,75000
9 MC,75000
5 CR,75000
7 YE,65000
PPG 1,59950
TNR 1,59500
97 SB,49500
34 RR,47500
86 CB,47500
USO 1,39500
92 PS,39500
JWC 111,34950
36 MS,34500
70 RP,34500
61 MB,29950
97 DH,29950
52 JR,29950
11 DRG,29950
111 DA,29950
88 SV,29750
48 CB,29500
90 PK,29500
26 CD,29500
WW 79,29500
85 SK,29500
11 MAA,29500
RAK 111,29500
79 MD,29500
PCY 1,27500
RK 83 ,27500
83 DW,27500
54 NJX,25000
85 KJ,24500
11 PPS,24500
51 CJ,24500
111 MCD,24500
111 AAJ,24500
46 RP,19950
77 OL,19500
30 VJ,19500
76 KF,19500
SM 828,19000
PSG 21,11750
111 PUM,9750
PUR 415,9750
SPJ 1X,6750
222 BA,6250
600 BA,6250
240 AAA,5750
B19 RBY,5750
N41 MAG,5750
